Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
2124,MITSUBISHI,GALANT,1983,1400,Manual,Petrol,462000,Pannala,1/9/2025,Ongoing Lease,USED,Not_Available,Available,Not_Available,Not_Available,6.5
2125,MITSUBISHI,GALANT,2000,2000,Manual,Diesel,275000,Bandaragama,1/25/2025,No Leasing,USED,Available,Available,Available,Available,35.5
2126,MITSUBISHI,GALANT,1985,1500,Manual,Petrol,440000,Kandy,1/3/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,4.75
2127,MITSUBISHI,GALANT,1990,1500,Manual,Diesel,385000,Kesbewa,,Ongoing Lease,USED,Not_Available,Available,Not_Available,Available,14
2128,MITSUBISHI,GALANT,2003,2000,Automatic,Petrol,242000,Gampaha,12/28/2024,No Leasing,USED,Available,Available,Available,Available,9.5
2129,MITSUBISHI,GALANT,1985,1600,Manual,Petrol,440000,Kandy,12/27/2024,No Leasing,USED,Available,Available,Not_Available,Not_Available,5.75
2130,MITSUBISHI,GALANT,1983,1590,Manual,Diesel,462000,Horana,12/24/2024,No Leasing,USED,Not_Available,Available,Not_Available,Not_Available,10.75
2131,MITSUBISHI,GALANT,1975,1500,Manual,Petrol,550000,Polgahawela,12/24/2024,No Leasing,USED,Not_Available,Not_Available,Available,Not_Available,3.4
2132,MITSUBISHI,GALANT,1985,1500,Manual,Petrol,440000,Kandy,12/21/2024,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,8
2133,MITSUBISHI,GALANT E32,1988,1800,Manual,Petrol,407000,Kesbewa,1/1/2025,No Leasing,USED,Available,Available,Available,Available,16.8
2134,MITSUBISHI,GALANT SIGMA 2C,1984,2000,Manual,Petrol,451000,Colombo,1/18/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,6.2
2135,MITSUBISHI,GALANT V6,1994,-2000,Manual,Petrol,341000,Kurunegala,12/15/2024,No Leasing,USED,Available,Available,Available,Available,22.75
2136,MITSUBISHI,GALANT VRG ASPIRE,2003,1800,Automatic,Petrol,242000,Colombo,2/3/2025,No Leasing,NEW,Available,Available,Available,Available,36.75
2137,MITSUBISHI,GF-H42A,2001,650,Automatic,Petrol,264000,Ja-Ela,1/13/2025,No Leasing,USED,Available,Available,Not_Available,Available,35
2138,MITSUBISHI,GLX,2007,1299,Manual,Petrol,198000,Colombo,12/24/2024,No Leasing,USED,Available,Available,Available,Available,47
2139,MITSUBISHI,KH4WGRPZR,2011,2476,Automatic,Diesel,154000,Ragama,1/2/2025,No Leasing,USED,Available,Available,Available,Available,150
2140,MITSUBISHI,LANCER,1992,,Manual,Diesel,363000,Kurunegala,2/4/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,14.5
2141,MITSUBISHI,LANCER,1985,1400,Manual,Petrol,440000,Gampaha,2/4/2025,No Leasing,USED,Available,Not_Available,Available,Not_Available,13
2142,MITSUBISHI,LANCER,1993,1300,Manual,Petrol,352000,Kurunegala,2/4/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,11.5
2143,MITSUBISHI,LANCER,2003,1300,Manual,Petrol,242000,Gampaha,,No Leasing,USED,Available,Not_Available,Available,Available,23.875
